year,semester,carleton_code,uottawa_code,course_name,professor,outline_link
2013,fall,COMP 4109A,,Applied Cryptography,M. Jason Hinek,https://service.scs.carleton.ca/sites/default/files/course_outlines/4109.pdf
2013,fall,COMP 4900F,,Human-Computer Interaction for UI Design,Robert Biddle,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp4900f-outline-2013f.pdf
2013,fall,COMP 5204,4900A,Computational Aspects of Geographic Information Systems,J.-R. Sack,https://service.scs.carleton.ca/sites/default/files/course_outlines/Outline5204.pdf
2013,fall,COMP 5900F,CSI 5140,Human-Computer Interaction for UI Design,Robert Biddle,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp5900f-outline-2013f_0.pdf
2013,fall,COMP 5900G,CSI5140,Computer Security and Usability,Sonia Chiasson,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP5900GCourse%20outline.pdf
2014,winter,COMP 1001B,,Introduction to Computers for the Arts and Social Sciences.,I. Reichstein,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP%201001%20Course%20Outline.pdf
2014,winter,COMP 1005B,1405,Introduction to Programming,Andrew Runka,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline.pdf
2014,winter,COMP 1406B,,Introduction to Computer Sciene II,Mark Lanthier,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP1406-CourseOutline%28W2014%29.pdf
2014,winter,COMP 1501A,,Introduction to Game Design,David Mould,https://service.scs.carleton.ca/sites/default/files/course_outlines/intro-1501-2014.pdf
2014,winter,COMP 1601A,,Introduction to Mobile Application Development,Dwight Deugo,https://service.scs.carleton.ca/sites/default/files/course_outlines/course_outline.html
2014,winter,COMP 1805B,,Discrete Structures,M. Jason Hinek,https://service.scs.carleton.ca/sites/default/files/course_outlines/1805_0.pdf
2014,winter,COMP 1807,,Introduction to Robotics,Mark Lanthier,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP1807-CourseOutline%28W2014%29_0.pdf
2014,winter,COMP 2402B,,Abstract Data Types (Data Structures),Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/2402winter2014outline.html
2014,winter,COMP 2404,,Introduction to Software Engineering,Christine Laurendeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_5.pdf
2014,winter,COMP 2406,,Fundamentals of Web Applications,Anil Somayaji,https://service.scs.carleton.ca/sites/default/files/course_outlines/Fundamentals%20of%20Web%20Applications%20%28Winter%202014%29.pdf
2014,winter,COMP 2501A,,Computer Games,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/2501winter2014outline_0.html
2014,winter,COMP 2601A,,Mobile Applications,Tony White,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP-2601.pdf
2014,winter,COMP 2804B,,Discrete Structures II,Michiel Smid,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_3.pdf
2014,winter,COMP 3000B,,Operating Systems,Mengchi Liu,https://service.scs.carleton.ca/sites/default/files/course_outlines/3000%20outline_1.docx
2014,winter,COMP 3004B,,Object-Oriented Software Engineering,Jean-Pierre Corriveau,https://service.scs.carleton.ca/sites/default/files/course_outlines/3004-W14-outline.pdf
2014,winter,COMP 3005B,,Database Management Systems,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/3005winter2014outline.html
2014,winter,COMP 3008,,Human Computer Interaction,Sonia Chiasson,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp3008_2014w_course_outline.pdf
2014,winter,COMP 3803,,Introduction to the Theory of Computation,John Oommen,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP3803HomePage2014.htm
2014,winter,COMP 3804B,MATH3804,Design and Analysis of Algorithms I,M. Jason Hinek,https://service.scs.carleton.ca/sites/default/files/course_outlines/3804.pdf
2014,winter,COMP 4102,,Introduction to Computer Vision,Gerhard Roth,https://service.scs.carleton.ca/sites/default/files/course_outlines/Outline_2014.pdf
2014,winter,COMP 4106,,Artificial Intelligence,John Oommen,https://service.scs.carleton.ca/sites/default/files/course_outlines/4106Out14.pdf
2014,winter,COMP 4108B,,Computer Systems Security ,Paul Van Oorschot,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP4108-preliminary-outline_0.pdf
2014,winter,COMP 4203,,Wireless Networks and Security,Michel Barbeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/CourseOutline4203.pdf
2014,winter,COMP 4601A,,Mobile Multimedia,Tony White,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP-4601_0.pdf
2014,winter,COMP 4804A,,Design and Analysis of Algorithms II,Anil Maheshwari,
2014,winter,COMP 5008,,Computational Geometry,Michiel Smid,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_4.pdf
2014,winter,COMP 5102,COMP 4000,Distributed Operating Systems,Anil Somayaji,https://service.scs.carleton.ca/sites/default/files/course_outlines/Distributed%20OS%3A%20Winter%202014.pdf
2014,winter,COMP 5104,HCIN 5406,Object-Oriented Software Development,Jean-Pierre Corriveau,https://service.scs.carleton.ca/sites/default/files/course_outlines/5104-W14-outline.pdf
2014,winter,COMP 5305W,,Advanced Database Systems,Mengchi Liu,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_0.docx
2014,winter,COMP 5402,,Protocols for Mobile and Wireless Networks,Michel Barbeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/CourseOutline5402.pdf
2014,winter,COMP 5900,4900,Evolving Information Networks,Evangelos Kranakis,https://service.scs.carleton.ca/sites/default/files/course_outlines/EK-590-14.pdf
2014,winter,COMP 5900X,,Game Design Workshop,David Mould,https://service.scs.carleton.ca/sites/default/files/course_outlines/intro-5900-2014.pdf
2014,summer,COMP 1005A,1405,Introduction to Computer Science I,Andrew Runka,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP%201405%20outline.pdf
2014,summer,COMP 1406A,1006,Introduction to Computer Science II,M. Jason Hinek,https://service.scs.carleton.ca/sites/default/files/course_outlines/1406-S14.pdf
2014,fall,COMP 1005A,,Introduction to Computer Science I,John Howat,https://service.scs.carleton.ca/sites/default/files/course_outlines/1005F14-outline.pdf
2014,fall,COMP 1805A,,Discrete Structures I,John Howat,https://service.scs.carleton.ca/sites/default/files/course_outlines/1805F14-outline.pdf
2014,fall,COMP 2401A,,Introduction to Systems Programming,Christine Laurendeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_9.pdf
2014,fall,COMP 2404A,,Introduction to Software Engineering,Christine Laurendeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_10.pdf
2014,fall,COMP 2406A,,Fundamentals of Web Applications,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/2406fall2014outline.html
2014,fall,COMP 2804,,Discrete Structures II,Michiel Smid,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_6.pdf
2014,fall,COMP 2807,,Fundamentals of Mobile Robot Programming,Mark Lanthier,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP2807-CourseOutline%28F2014%29_0.pdf
2014,fall,COMP 2807A,,Fundamentals of Mobile Robot Programming,Mark Lanthier,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP2807-CourseOutline%28F2014%29_1.pdf
2014,fall,COMP 3000,,Operating Systems,Anil Somayaji,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp3000-fall2014-outline.pdf
2014,fall,COMP 3004A,,Object-oriented Software Engineering,Christine Laurendeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_7.pdf
2014,fall,COMP 3005A,,Database Management Systems,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/3005fall2014outline.html
2014,fall,COMP 3203,,Principles of Computer Networks,Michel Barbeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/CourseOutline3203.pdf
2014,fall,COMP 3501A,,Foundations of Game Programming and Computer Graphics,David Mould,https://service.scs.carleton.ca/sites/default/files/course_outlines/intro-3501-2014.pdf
2014,fall,COMP 3601A,,Social Networking,Dwight Deugo,https://service.scs.carleton.ca/sites/default/files/course_outlines/index.html
2014,fall,COMP 4001A,,DISTRIBUTED COMPUTING,Evangelos Kranakis,https://service.scs.carleton.ca/sites/default/files/course_outlines/401-14.pdf
2014,fall,COMP 4004A,,Software Quality Engineering,Jean-Pierre Corriveau,https://service.scs.carleton.ca/sites/default/files/course_outlines/4004-%20outlineF14.pdf
2014,fall,COMP 4009A,,Parallel Programming for Clusters and Multi-Core Processors,Frank Dehne,https://service.scs.carleton.ca/sites/default/files/course_outlines/4009%20outline.pdf
2014,fall,COMP 4009A,,Parallel Programming for Clusters and Multi-Core Processors,F.Dehne,https://service.scs.carleton.ca/sites/default/files/course_outlines/x.txt
2014,fall,COMP 4107A,,Evolutionary Computation and Artificial Life,Tony White,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP-4107.pdf
2014,fall,COMP 4109A,,Applied Cryptography,John Howat,https://service.scs.carleton.ca/sites/default/files/course_outlines/4109F14-outline.pdf
2014,fall,COMP 4900,5111,Data Management for Business Intelligence ,Leopoldo Bertossi,https://service.scs.carleton.ca/sites/default/files/course_outlines/syllBI14.pdf
2014,fall,COMP 5005,,Learning Systems for Random Environments ,John Oommen,https://service.scs.carleton.ca/sites/default/files/course_outlines/5005Outline14.pdf
2014,fall,COMP 5104,HCIN5406,Object-Oriented Software Development,Jean-Pierre Corriveau,https://service.scs.carleton.ca/sites/default/files/course_outlines/5104-%20outlineF14.pdf
2014,fall,COMP 5304A,,WIRELESS NETWORKING AND MOBILE COMPUTING,Evangelos Kranakis,https://service.scs.carleton.ca/sites/default/files/course_outlines/534-14.pdf
2014,fall,COMP 5306,,Data Integration,Leopoldo Bertossi,https://service.scs.carleton.ca/sites/default/files/course_outlines/syllBI14_0.pdf
2014,fall,COMP 5900G,CSI5140,Computer Security and Usability,Sonia Chiasson,https://service.scs.carleton.ca/sites/default/files/course_outlines/Fall2014_COMP5900G_Syllabus_1.pdf
2015,winter,COMP 1004A,,Introduction to Computers for the Sciences,I. Reichstein,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline.docx
2015,winter,COMP 1006B,,Introduction to Computer Science II,John Howat,https://service.scs.carleton.ca/sites/default/files/course_outlines/1006B-W15-outline.pdf
2015,winter,COMP 1405B,COMP 1005,Introduction to Computer Science I,Christine Laurendeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_14.pdf
